排名,种类,书名,作者,月票数量
34,悬疑,我的治愈系游戏,我会修空调,10018
35,奇幻,天启预报,风月,9996
36,仙侠,烂柯棋缘,真费事,9942
37,都市,重生过去震八方,锋临天下,9826
38,科幻,在港综成为传说,凤嘲凰,9754
39,都市,建造狂魔,好多牛,9317
40,历史,大唐扫把星,迪巴拉爵士,8927
41,玄幻,左道倾天,风凌天下,8706
42,体育,我真的只是想打铁,静悄悄地写,8607
43,轻小说,掌门低调点,幼儿园一把手,8562
44,都市,我的1978小农庄,名窑,8458
45,轻小说,我真没想当训练家啊,北川南海,8336
46,都市,我只会拍烂片啊,巫马行,8317
47,轻小说,柯南之我不是蛇精病,烟火酒颂,8224
48,仙侠,半仙,跃千愁,8198
49,都市,这个诅咒太棒了,行者有三,8062
50,仙侠,大周仙吏,荣小荣,8001
51,玄幻,斗罗大陆IV终极斗罗,唐家三少,7966
52,轻小说,我在东京教剑道,范马加藤惠,7546
53,轻小说,怪物被杀就会死,阴天神隐,7483
54,都市,户外直播间,昙花落,7444
55,科幻,玩家凶猛,黑灯夏火,7441
56,玄幻,诡秘之主,爱潜水的乌贼,7418
57,都市,我只想自力更生,中秋月明,7391
58,轻小说,我在决斗都市玩卡牌,名称被占用,7372
59,轻小说,芝加哥1990,齐可休,7251
60,历史,数风流人物,瑞根,7235
61,历史,新书,七月新番,6981
62,玄幻,万古神帝,飞天鱼,6836
63,仙侠,大数据修仙,陈风笑,6706
64,游戏,法爷永远是你大爷,翔炎,6563
65,玄幻,我的徒弟都是大反派,谋生任转蓬,6559
66,玄幻,绑定天才就变强,李鸿天,6502
67,游戏,末日拼图游戏,更从心,6409
68,轻小说,只想退休的我被迫成了大将,咸鱼军头,6387
69,科幻,全球神祇时代,一夕成道,6294
70,轻小说,我家老婆来自一千年前,花还没开,6179
71,游戏,神秀之主,文抄公,6176
72,都市,颠覆了这是皇帝聊天群,黑血粉,6136
73,历史,梦回大明春,王梓钧,5842
74,仙侠,御九天,骷髅精灵,5788
75,仙侠,原来我是修仙大佬,木下雉水,5776
76,玄幻,开局签到如来神掌,回到原初,5706
77,轻小说,世界树的游戏,咯嘣,5565
78,历史,小阁老,三戒大师,5546
79,科幻,每天都离现形更近一步,陈词懒调,5454
80,都市,奶爸学园,剑沉黄海,5341
81,玄幻,签到千年我怎么成人族隐藏,超喜欢吃辣椒,5339
82,仙侠,这是我的星球,姬叉,5266
83,都市,信息全知者,魔性沧月,5193
84,都市,高龄巨星,蠢蠢凡愚QD,5182
85,玄幻,旧日之箓,熊狼狗,5001
86,奇幻,天道方程式,二目,4984
87,游戏,我快亏成麻瓜了,江公子阿宝,4983
88,都市,中医许阳,唐甲甲,4955
89,玄幻,最初进化,卷土,4918
90,历史,朕又不想当皇帝,争斤论两花花帽,4871
91,奇幻,钢铁火药和施法者,尹紫电,4865
92,游戏,我真没针对法爷,十年一键,4863
93,玄幻,伏天氏,净无痕,4844
94,仙侠,玄浑道章,误道者,4837
95,都市,环球挖土党,痞徒,4742
96,游戏,什么叫游走型中单啊,这很科学啊,4673
97,玄幻,冷宫签到八十年，我举世无,女孩那么可爱,4660
98,玄幻,众神世界,永恒之火,4592
99,历史,葬元,武猎,4520
100,奇幻,洪荒历,zhttty,4485
1,仙侠,大奉打更人,卖报小郎君,187582
2,仙侠,这个人仙太过正经,言归正传,156204
3,科幻,从红月开始,黑山老鬼,64941
4,都市,全职艺术家,我最白,53185
5,都市,稳住别浪,跳舞,49786
6,历史,神话版三国,坟土荒草,46815
7,仙侠,剑卒过河,惰堕,45102
8,仙侠,大梦主,忘语,44387
9,轻小说,精灵掌门人,轻泉流响,44197
10,仙侠,体修之祖,石木,43974
11,悬疑,魔临,纯洁滴小龙,43288
12,轻小说,轮回乐园,那一只蚊子,39277
13,历史,赘婿,愤怒的香蕉,37352
14,玄幻,长夜余火,爱潜水的乌贼,34479
15,仙侠,赤心巡天,情何以甚,34362
16,玄幻,十方武圣,滚开,30975
17,科幻,黎明之剑,远瞳,30927
18,都市,万族之劫,老鹰吃小鸡,28896
19,轻小说,没钱上大学的我只能去屠龙,宇宙无敌水哥,28324
20,游戏,亏成首富从游戏开始,青衫取醉,27761
21,玄幻,左道倾天,风凌天下,26635
22,历史,绍宋,榴弹怕水,25974
23,轻小说,我加载了恋爱游戏,掠过的乌鸦,25277
24,悬疑,颤栗高空,奥比椰,23015
25,悬疑,我的治愈系游戏,我会修空调,22402
26,体育,禁区之狐,林海听涛,19506
27,科幻,九星之主,育,18899
28,玄幻,临渊行,宅猪,18573
